Pressure Reading,Voltage,Time
1.3,0.4943203330039978,2024-08-16 05:59:11.731
0.39,0.4777379035949707,2024-08-16 05:59:11.804
-1.25,0.4478105902671814,2024-08-16 05:59:11.846
3.99,0.5432779788970947,2024-08-16 05:59:11.903
0.66,0.48263368010520935,2024-08-16 05:59:11.964
1.73,0.5021377801895142,2024-08-16 05:59:12.010
-0.76,0.45673349499702454,2024-08-16 05:59:12.058
-0.09,0.46897292137145996,2024-08-16 05:59:12.124
0.12,0.47284215688705444,2024-08-16 05:59:12.189
-0.49,0.4616292715072632,2024-08-16 05:59:12.237
0.45,0.4786854684352875,2024-08-16 05:59:12.282
2.1,0.5088496804237366,2024-08-16 05:59:12.324
-1.92,0.43549221754074097,2024-08-16 05:59:12.374
3.74,0.5386980772018433,2024-08-16 05:59:12.425
4.41,0.5508584976196289,2024-08-16 05:59:12.488
1.49,0.4977157711982727,2024-08-16 05:59:12.536
1.39,0.49597856402397156,2024-08-16 05:59:12.581
1.58,0.49929505586624146,2024-08-16 05:59:12.611
-1.28,0.4472578167915344,2024-08-16 05:59:12.685
-1.87,0.43651872873306274,2024-08-16 05:59:12.735
-1.62,0.4410986602306366,2024-08-16 05:59:12.801
1.67,0.5009533166885376,2024-08-16 05:59:12.854
3.7,0.5379873514175415,2024-08-16 05:59:12.918
-0.75,0.4569703936576843,2024-08-16 05:59:12.968
0.71,0.4834233224391937,2024-08-16 05:59:13.017
1.17,0.4919514060020447,2024-08-16 05:59:13.060
3.06,0.5263007283210754,2024-08-16 05:59:13.122
2.06,0.5081390142440796,2024-08-16 05:59:13.201
3.83,0.540435254573822,2024-08-16 05:59:13.264
5.16,0.5646771788597107,2024-08-16 05:59:13.294
0.93,0.4875294268131256,2024-08-16 05:59:13.353
1.03,0.48934561014175415,2024-08-16 05:59:13.419
1.68,0.5011112093925476,2024-08-16 05:59:13.473
2.44,0.5150878429412842,2024-08-16 05:59:13.523
1.95,0.5061649084091187,2024-08-16 05:59:13.581
0.52,0.48010683059692383,2024-08-16 05:59:13.624
1.32,0.4945572316646576,2024-08-16 05:59:13.683
-0.15,0.4678674042224884,2024-08-16 05:59:13.747
0.02,0.4708680510520935,2024-08-16 05:59:13.807
-0.07,0.46920979022979736,2024-08-16 05:59:13.858
3.34,0.5313544273376465,2024-08-16 05:59:13.917
0.36,0.4771061837673187,2024-08-16 05:59:13.979
2.47,0.5156406164169312,2024-08-16 05:59:14.029
2.31,0.512718915939331,2024-08-16 05:59:14.081
-0.74,0.4570493698120117,2024-08-16 05:59:14.134
2.43,0.5148509740829468,2024-08-16 05:59:14.182
-0.86,0.454838365316391,2024-08-16 05:59:14.232
3.34,0.5315123200416565,2024-08-16 05:59:14.311
1.49,0.4976368248462677,2024-08-16 05:59:14.382
0.88,0.48658186197280884,2024-08-16 05:59:14.428
3.22,0.5293013453483582,2024-08-16 05:59:14.489
0.01,0.4707890748977661,2024-08-16 05:59:14.536
0.23,0.474737286567688,2024-08-16 05:59:14.584
0.43,0.4783696234226227,2024-08-16 05:59:14.629
