time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:54:20.831,-31.25,112.75,-1.0
2025-01-15 23:54:21.032,-31.25,112.75,-1.0
2025-01-15 23:54:21.234,-31.25,112.75,-1.0
2025-01-15 23:54:21.439,-31.25,112.75,-1.0
2025-01-15 23:54:21.645,-31.25,112.75,-1.0
2025-01-15 23:54:21.851,-31.25,112.75,-1.0
2025-01-15 23:54:22.056,-31.25,112.75,-1.0
2025-01-15 23:54:22.262,-31.25,112.75,-1.0
2025-01-15 23:54:22.468,-31.25,112.75,-1.0
2025-01-15 23:54:22.673,-31.25,112.75,-1.0
2025-01-15 23:54:22.878,-31.25,112.75,-1.0
2025-01-15 23:54:23.084,-31.25,112.75,-1.0
2025-01-15 23:54:23.289,-31.25,112.75,-1.0
2025-01-15 23:54:23.491,-31.25,112.75,-1.0
2025-01-15 23:54:23.695,-31.25,112.75,-1.0
2025-01-15 23:54:23.898,-31.25,112.75,-1.0
2025-01-15 23:54:24.100,-31.25,112.75,-1.0
2025-01-15 23:54:24.301,-31.25,112.75,-1.0
2025-01-15 23:54:24.506,-31.25,112.75,-1.0
2025-01-15 23:54:24.712,-31.25,112.75,-1.0
2025-01-15 23:54:24.918,-31.25,112.75,-1.0
2025-01-15 23:54:25.118,-31.25,112.75,-1.0
2025-01-15 23:54:25.321,-31.25,112.75,-1.0
2025-01-15 23:54:25.523,-31.25,112.75,-1.0
2025-01-15 23:54:25.724,-31.25,112.75,-1.0
2025-01-15 23:54:25.929,-31.25,112.75,-1.0
2025-01-15 23:54:26.133,-31.25,112.75,-1.0
2025-01-15 23:54:26.338,-31.25,112.75,-1.0
2025-01-15 23:54:26.544,-31.25,112.75,-1.0
2025-01-15 23:54:26.749,-31.25,112.75,-1.0
2025-01-15 23:54:26.955,-31.25,112.75,-1.0
2025-01-15 23:54:27.160,-31.25,112.75,-1.0
2025-01-15 23:54:27.365,-31.25,112.75,-1.0
2025-01-15 23:54:27.571,-31.25,112.75,-1.0
2025-01-15 23:54:27.775,-31.25,112.75,-1.0
2025-01-15 23:54:27.981,-31.25,112.75,-1.0
2025-01-15 23:54:28.182,-31.25,112.75,-1.0
2025-01-15 23:54:28.387,-31.25,112.75,-1.0
2025-01-15 23:54:28.592,-31.25,112.75,-1.0
2025-01-15 23:54:28.793,-31.25,112.75,-1.0
2025-01-15 23:54:28.998,-31.25,112.75,-1.0
2025-01-15 23:54:29.204,-31.25,112.75,-1.0
2025-01-15 23:54:29.408,-31.25,112.75,-1.0
2025-01-15 23:54:29.609,-31.25,112.75,-1.0
2025-01-15 23:54:29.812,-31.25,112.75,-1.0
2025-01-15 23:54:30.016,-31.25,112.75,-1.0
2025-01-15 23:54:30.221,-31.25,112.75,-1.0
2025-01-15 23:54:30.427,-31.25,112.75,-1.0
2025-01-15 23:54:30.633,-31.25,112.75,-1.0
2025-01-15 23:54:30.834,-31.25,112.75,-1.0
2025-01-15 23:54:31.040,-31.25,112.75,-1.0
2025-01-15 23:54:31.244,-31.25,112.75,-1.0
2025-01-15 23:54:31.449,-31.25,112.75,-1.0
2025-01-15 23:54:31.655,-31.25,112.75,-1.0
2025-01-15 23:54:31.860,-31.25,112.75,-1.0
2025-01-15 23:54:32.063,-31.25,112.75,-1.0
2025-01-15 23:54:32.265,-31.25,112.75,-1.0
2025-01-15 23:54:32.471,-31.25,112.75,-1.0
2025-01-15 23:54:32.672,-31.25,112.75,-1.0
