time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:55:30.625,-31.25,112.75,-1.0
2025-01-15 23:55:30.826,-31.25,112.75,-1.0
2025-01-15 23:55:31.031,-31.25,112.75,-1.0
2025-01-15 23:55:31.234,-31.25,112.75,-1.0
2025-01-15 23:55:31.440,-31.25,112.75,-1.0
2025-01-15 23:55:31.645,-31.25,112.75,-1.0
2025-01-15 23:55:31.846,-31.25,112.75,-1.0
2025-01-15 23:55:32.052,-31.25,112.75,-1.0
2025-01-15 23:55:32.258,-31.25,112.75,-1.0
2025-01-15 23:55:32.462,-31.25,112.75,-1.0
