time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:50:08.723,-31.25,112.75,-1.0
2025-01-15 23:50:08.928,-31.25,112.75,-1.0
2025-01-15 23:50:09.134,-31.25,112.75,-1.0
2025-01-15 23:50:09.339,-31.25,112.75,-1.0
2025-01-15 23:50:09.545,-31.25,112.75,-1.0
2025-01-15 23:50:09.751,-31.25,112.75,-1.0
2025-01-15 23:50:09.953,-31.25,112.75,-1.0
2025-01-15 23:50:10.159,-31.25,112.75,-1.0
2025-01-15 23:50:10.360,-31.25,112.75,-1.0
2025-01-15 23:50:10.564,-31.25,112.75,-1.0
2025-01-15 23:50:10.767,-31.25,112.75,-1.0
2025-01-15 23:50:10.973,-31.25,112.75,-1.0
2025-01-15 23:50:11.177,-31.25,112.75,-1.0
2025-01-15 23:50:11.383,-31.25,112.75,-1.0
2025-01-15 23:50:11.588,-31.25,112.75,-1.0
