time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:54:33.856,-31.25,112.75,-1.0
2025-01-15 23:54:34.062,-31.25,112.75,-1.0
2025-01-15 23:54:34.267,-31.25,112.75,-1.0
2025-01-15 23:54:34.473,-31.25,112.75,-1.0
2025-01-15 23:54:34.678,-31.25,112.75,-1.0
2025-01-15 23:54:34.883,-31.25,112.75,-1.0
2025-01-15 23:54:35.088,-31.25,112.75,-1.0
2025-01-15 23:54:35.294,-31.25,112.75,-1.0
2025-01-15 23:54:35.499,-31.25,112.75,-1.0
2025-01-15 23:54:35.705,-31.25,112.75,-1.0
2025-01-15 23:54:35.907,-31.25,112.75,-1.0
2025-01-15 23:54:36.110,-31.25,112.75,-1.0
2025-01-15 23:54:36.313,-31.25,112.75,-1.0
2025-01-15 23:54:36.519,-31.25,112.75,-1.0
2025-01-15 23:54:36.723,-31.25,112.75,-1.0
2025-01-15 23:54:36.927,-31.25,112.75,-1.0
2025-01-15 23:54:37.131,-31.25,112.75,-1.0
2025-01-15 23:54:37.334,-31.25,112.75,-1.0
2025-01-15 23:54:37.535,-31.25,112.75,-1.0
2025-01-15 23:54:37.736,-31.25,112.75,-1.0
2025-01-15 23:54:37.939,-31.25,112.75,-1.0
2025-01-15 23:54:38.141,-31.25,112.75,-1.0
2025-01-15 23:54:38.344,-31.25,112.75,-1.0
2025-01-15 23:54:38.545,-31.25,112.75,-1.0
2025-01-15 23:54:38.746,-31.25,112.75,-1.0
2025-01-15 23:54:38.950,-31.25,112.75,-1.0
2025-01-15 23:54:39.156,-31.25,112.75,-1.0
2025-01-15 23:54:39.359,-31.25,112.75,-1.0
2025-01-15 23:54:39.564,-31.25,112.75,-1.0
2025-01-15 23:54:39.770,-31.25,112.75,-1.0
2025-01-15 23:54:39.972,-31.25,112.75,-1.0
2025-01-15 23:54:40.176,-31.25,112.75,-1.0
2025-01-15 23:54:40.382,-31.25,112.75,-1.0
2025-01-15 23:54:40.585,-31.25,112.75,-1.0
2025-01-15 23:54:40.791,-31.25,112.75,-1.0
2025-01-15 23:54:40.995,-31.25,112.75,-1.0
2025-01-15 23:54:41.201,-31.25,112.75,-1.0
2025-01-15 23:54:41.404,-31.25,112.75,-1.0
2025-01-15 23:54:41.610,-31.25,112.75,-1.0
2025-01-15 23:54:41.816,-31.25,112.75,-1.0
2025-01-15 23:54:42.021,-31.25,112.75,-1.0
2025-01-15 23:54:42.222,-31.25,112.75,-1.0
2025-01-15 23:54:42.428,-31.25,112.75,-1.0
2025-01-15 23:54:42.632,-31.25,112.75,-1.0
2025-01-15 23:54:42.834,-31.25,112.75,-1.0
2025-01-15 23:54:43.040,-31.25,112.75,-1.0
2025-01-15 23:54:43.246,-31.25,112.75,-1.0
2025-01-15 23:54:43.449,-31.25,112.75,-1.0
2025-01-15 23:54:43.655,-31.25,112.75,-1.0
2025-01-15 23:54:43.860,-31.25,112.75,-1.0
2025-01-15 23:54:44.066,-31.25,112.75,-1.0
2025-01-15 23:54:44.267,-31.25,112.75,-1.0
2025-01-15 23:54:44.473,-31.25,112.75,-1.0
2025-01-15 23:54:44.678,-31.25,112.75,-1.0
2025-01-15 23:54:44.882,-31.25,112.75,-1.0
2025-01-15 23:54:45.084,-31.25,112.75,-1.0
2025-01-15 23:54:45.288,-31.25,112.75,-1.0
2025-01-15 23:54:45.492,-31.25,112.75,-1.0
2025-01-15 23:54:45.695,-31.25,112.75,-1.0
