time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:49:58.663,0.0,0.0,0.0
2025-01-15 23:49:58.868,-31.25,112.75,-1.0
2025-01-15 23:49:59.074,-31.25,112.75,-1.0
2025-01-15 23:49:59.279,-31.25,112.75,-1.0
2025-01-15 23:49:59.481,-31.25,112.75,-1.0
2025-01-15 23:49:59.687,-31.25,112.75,-1.0
2025-01-15 23:49:59.892,-31.25,112.75,-1.0
2025-01-15 23:50:00.098,-31.25,112.75,-1.0
2025-01-15 23:50:00.302,-31.25,112.75,-1.0
2025-01-15 23:50:00.506,-31.25,112.75,-1.0
2025-01-15 23:50:00.711,-31.25,112.75,-1.0
2025-01-15 23:50:00.912,-31.25,112.75,-1.0
2025-01-15 23:50:01.113,-31.25,112.75,-1.0
2025-01-15 23:50:01.315,-31.25,112.75,-1.0
2025-01-15 23:50:01.520,-31.25,112.75,-1.0
2025-01-15 23:50:01.723,-31.25,112.75,-1.0
2025-01-15 23:50:01.925,-31.25,112.75,-1.0
2025-01-15 23:50:02.130,-31.25,112.75,-1.0
2025-01-15 23:50:02.336,-31.25,112.75,-1.0
2025-01-15 23:50:02.542,-31.25,112.75,-1.0
2025-01-15 23:50:02.748,-31.25,112.75,-1.0
2025-01-15 23:50:02.953,-31.25,112.75,-1.0
2025-01-15 23:50:03.157,-31.25,112.75,-1.0
