time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:44:17.509,0.0,0.0,0.0
2025-01-15 23:44:17.713,-31.25,112.75,-1.0
2025-01-15 23:44:17.919,-31.25,112.75,-1.0
2025-01-15 23:44:18.121,-31.25,112.75,-1.0
2025-01-15 23:44:18.322,-31.25,112.75,-1.0
2025-01-15 23:44:18.528,-31.25,112.75,-1.0
2025-01-15 23:44:18.730,-31.25,112.75,-1.0
2025-01-15 23:44:18.935,-31.25,112.75,-1.0
2025-01-15 23:44:19.141,-31.25,112.75,-1.0
2025-01-15 23:44:19.346,-31.25,112.75,-1.0
2025-01-15 23:44:19.551,-31.25,112.75,-1.0
2025-01-15 23:44:19.757,-31.25,112.75,-1.0
2025-01-15 23:44:19.963,-31.25,112.75,-1.0
2025-01-15 23:44:20.168,-31.25,112.75,-1.0
2025-01-15 23:44:20.374,-31.25,112.75,-1.0
2025-01-15 23:44:20.579,-31.25,112.75,-1.0
2025-01-15 23:44:20.780,-31.25,112.75,-1.0
2025-01-15 23:44:20.985,-31.25,112.75,-1.0
