time,Tank Pressure Transducer,Tank Temperature,Capacitive Fill
2025-01-15 23:50:16.896,-31.25,112.75,-1.0
2025-01-15 23:50:17.098,-31.25,112.75,-1.0
2025-01-15 23:50:17.304,-31.25,112.75,-1.0
2025-01-15 23:50:17.506,-31.25,112.75,-1.0
2025-01-15 23:50:17.709,-31.25,112.75,-1.0
2025-01-15 23:50:17.910,-31.25,112.75,-1.0
2025-01-15 23:50:18.115,-31.25,112.75,-1.0
2025-01-15 23:50:18.320,-31.25,112.75,-1.0
2025-01-15 23:50:18.526,-31.25,112.75,-1.0
2025-01-15 23:50:18.731,-31.25,112.75,-1.0
2025-01-15 23:50:18.933,-31.25,112.75,-1.0
2025-01-15 23:50:19.136,-31.25,112.75,-1.0
2025-01-15 23:50:19.339,-31.25,112.75,-1.0
2025-01-15 23:50:19.544,-31.25,112.75,-1.0
2025-01-15 23:50:19.750,-31.25,112.75,-1.0
2025-01-15 23:50:19.955,-31.25,112.75,-1.0
2025-01-15 23:50:20.161,-31.25,112.75,-1.0
2025-01-15 23:50:20.365,-31.25,112.75,-1.0
2025-01-15 23:50:20.570,-31.25,112.75,-1.0
2025-01-15 23:50:20.773,-31.25,112.75,-1.0
2025-01-15 23:50:20.975,-31.25,112.75,-1.0
2025-01-15 23:50:21.179,-31.25,112.75,-1.0
2025-01-15 23:50:21.380,-31.25,112.75,-1.0
2025-01-15 23:50:21.581,-31.25,112.75,-1.0
