Temperature,Time
26.699951171875,2024-08-16 13:49:01.462
26.570556640625,2024-08-16 13:49:01.531
26.758514404296875,2024-08-16 13:49:01.636
26.719451904296875,2024-08-16 13:49:01.688
26.738983154296875,2024-08-16 13:49:01.796
26.719451904296875,2024-08-16 13:49:01.873
26.699951171875,2024-08-16 13:49:01.950
26.9146728515625,2024-08-16 13:49:01.999
26.79754638671875,2024-08-16 13:49:02.053
26.680419921875,2024-08-16 13:49:02.105
26.680419921875,2024-08-16 13:49:02.195
26.875640869140625,2024-08-16 13:49:02.255
26.719451904296875,2024-08-16 13:49:02.310
26.778045654296875,2024-08-16 13:49:02.363
26.81707763671875,2024-08-16 13:49:02.412
26.79754638671875,2024-08-16 13:49:02.479
26.719451904296875,2024-08-16 13:49:02.537
26.895172119140625,2024-08-16 13:49:02.585
26.738983154296875,2024-08-16 13:49:02.640
26.856109619140625,2024-08-16 13:49:02.727
26.80975341796875,2024-08-16 13:49:02.799
26.80975341796875,2024-08-16 13:49:02.853
26.81707763671875,2024-08-16 13:49:02.909
26.81707763671875,2024-08-16 13:49:02.970
26.77069091796875,2024-08-16 13:49:03.047
26.692596435546875,2024-08-16 13:49:03.103
26.77069091796875,2024-08-16 13:49:03.149
26.875640869140625,2024-08-16 13:49:03.215
26.83660888671875,2024-08-16 13:49:03.283
26.712127685546875,2024-08-16 13:49:03.353
26.778045654296875,2024-08-16 13:49:03.407
26.758514404296875,2024-08-16 13:49:03.470
26.653564453125,2024-08-16 13:49:03.549
26.875640869140625,2024-08-16 13:49:03.749
26.738983154296875,2024-08-16 13:49:03.883
26.660888671875,2024-08-16 13:49:04.019
26.758514404296875,2024-08-16 13:49:04.166
26.712127685546875,2024-08-16 13:49:04.216
26.83660888671875,2024-08-16 13:49:04.307
26.77069091796875,2024-08-16 13:49:04.422
26.778045654296875,2024-08-16 13:49:04.500
26.81707763671875,2024-08-16 13:49:04.662
26.712127685546875,2024-08-16 13:49:04.789
26.758514404296875,2024-08-16 13:49:04.886
26.614501953125,2024-08-16 13:49:04.964
26.641357421875,2024-08-16 13:49:05.026
26.692596435546875,2024-08-16 13:49:05.082
26.673065185546875,2024-08-16 13:49:05.121
26.79022216796875,2024-08-16 13:49:05.190
26.731658935546875,2024-08-16 13:49:05.240
26.83660888671875,2024-08-16 13:49:05.289
26.731658935546875,2024-08-16 13:49:05.343
26.712127685546875,2024-08-16 13:49:05.394
26.719451904296875,2024-08-16 13:49:05.486
26.673065185546875,2024-08-16 13:49:05.537
26.719451904296875,2024-08-16 13:49:05.587
26.660888671875,2024-08-16 13:49:05.640
26.712127685546875,2024-08-16 13:49:05.689
26.80975341796875,2024-08-16 13:49:05.775
26.563262939453125,2024-08-16 13:49:05.813
26.692596435546875,2024-08-16 13:49:05.864
26.673065185546875,2024-08-16 13:49:05.915
26.751190185546875,2024-08-16 13:49:05.968
26.699951171875,2024-08-16 13:49:06.068
26.673065185546875,2024-08-16 13:49:06.120
26.536407470703125,2024-08-16 13:49:06.165
26.673065185546875,2024-08-16 13:49:06.219
26.719451904296875,2024-08-16 13:49:06.267
26.751190185546875,2024-08-16 13:49:06.327
26.699951171875,2024-08-16 13:49:06.380
26.614501953125,2024-08-16 13:49:06.417
26.634033203125,2024-08-16 13:49:06.469
26.614501953125,2024-08-16 13:49:06.533
26.673065185546875,2024-08-16 13:49:06.604
26.641357421875,2024-08-16 13:49:06.660
26.602325439453125,2024-08-16 13:49:06.709
26.458282470703125,2024-08-16 13:49:06.760
26.673065185546875,2024-08-16 13:49:06.807
26.634033203125,2024-08-16 13:49:06.859
26.653564453125,2024-08-16 13:49:06.912
26.548614501953125,2024-08-16 13:49:06.969
26.614501953125,2024-08-16 13:49:07.014
26.602325439453125,2024-08-16 13:49:07.079
26.575439453125,2024-08-16 13:49:07.144
